DEATH_YEAR,WEEK_NUM,FIPS,COUNTY,NUMBER_OF_DEATHS
2018,1,1,ACCOMACK             ,12
2018,2,1,ACCOMACK             ,9
2018,3,1,ACCOMACK             ,5
2018,4,1,ACCOMACK             ,6
2018,5,1,ACCOMACK             ,9
2018,6,1,ACCOMACK             ,13
2018,7,1,ACCOMACK             ,2
2018,8,1,ACCOMACK             ,9
2018,9,1,ACCOMACK             ,8
2018,10,1,ACCOMACK             ,7
2018,11,1,ACCOMACK             ,9
2018,12,1,ACCOMACK             ,5
2018,13,1,ACCOMACK             ,7
2018,14,1,ACCOMACK             ,10
2018,15,1,ACCOMACK             ,7
2018,16,1,ACCOMACK             ,8
2018,17,1,ACCOMACK             ,5
2018,18,1,ACCOMACK             ,9
2018,19,1,ACCOMACK             ,5
2018,20,1,ACCOMACK             ,8
2018,21,1,ACCOMACK             ,5
2018,22,1,ACCOMACK             ,10
2018,23,1,ACCOMACK             ,8
2018,24,1,ACCOMACK             ,7
2018,25,1,ACCOMACK             ,5
2018,26,1,ACCOMACK             ,4
2018,27,1,ACCOMACK             ,9
2018,28,1,ACCOMACK             ,5
2018,29,1,ACCOMACK             ,12
2018,30,1,ACCOMACK             ,12
2018,31,1,ACCOMACK             ,6
2018,32,1,ACCOMACK             ,6
2018,33,1,ACCOMACK             ,6
2018,34,1,ACCOMACK             ,9
2018,35,1,ACCOMACK             ,4
2018,36,1,ACCOMACK             ,5
2018,37,1,ACCOMACK             ,7
2018,38,1,ACCOMACK             ,5
2018,39,1,ACCOMACK             ,11
2018,40,1,ACCOMACK             ,8
2018,41,1,ACCOMACK             ,14
2018,42,1,ACCOMACK             ,13
2018,43,1,ACCOMACK             ,12
2018,44,1,ACCOMACK             ,9
2018,45,1,ACCOMACK             ,7
2018,46,1,ACCOMACK             ,10
2018,47,1,ACCOMACK             ,5
2018,48,1,ACCOMACK             ,8
2018,49,1,ACCOMACK             ,9
2018,50,1,ACCOMACK             ,16
2018,51,1,ACCOMACK             ,5
2018,52,1,ACCOMACK             ,10
2018,53,1,ACCOMACK             ,0
2018,1,3,ALBEMARLE            ,17
2018,2,3,ALBEMARLE            ,20
2018,3,3,ALBEMARLE            ,19
2018,4,3,ALBEMARLE            ,26
2018,5,3,ALBEMARLE            ,18
2018,6,3,ALBEMARLE            ,23
2018,7,3,ALBEMARLE            ,27
2018,8,3,ALBEMARLE            ,22
2018,9,3,ALBEMARLE            ,19
2018,10,3,ALBEMARLE            ,19
2018,11,3,ALBEMARLE            ,19
2018,12,3,ALBEMARLE            ,26
2018,13,3,ALBEMARLE            ,16
2018,14,3,ALBEMARLE            ,16
2018,15,3,ALBEMARLE            ,28
2018,16,3,ALBEMARLE            ,18
2018,17,3,ALBEMARLE            ,21
2018,18,3,ALBEMARLE            ,20
2018,19,3,ALBEMARLE            ,15
2018,20,3,ALBEMARLE            ,14
2018,21,3,ALBEMARLE            ,18
2018,22,3,ALBEMARLE            ,17
2018,23,3,ALBEMARLE            ,23
2018,24,3,ALBEMARLE            ,23
2018,25,3,ALBEMARLE            ,19
2018,26,3,ALBEMARLE            ,17
2018,27,3,ALBEMARLE            ,26
2018,28,3,ALBEMARLE            ,18
2018,29,3,ALBEMARLE            ,22
2018,30,3,ALBEMARLE            ,19
2018,31,3,ALBEMARLE            ,22
2018,32,3,ALBEMARLE            ,15
2018,33,3,ALBEMARLE            ,13
2018,34,3,ALBEMARLE            ,18
2018,35,3,ALBEMARLE            ,24
2018,36,3,ALBEMARLE            ,24
2018,37,3,ALBEMARLE            ,22
2018,38,3,ALBEMARLE            ,16
2018,39,3,ALBEMARLE            ,22
2018,40,3,ALBEMARLE            ,25
2018,41,3,ALBEMARLE            ,15
2018,42,3,ALBEMARLE            ,25
2018,43,3,ALBEMARLE            ,16
2018,44,3,ALBEMARLE            ,24
2018,45,3,ALBEMARLE            ,26
2018,46,3,ALBEMARLE            ,18
2018,47,3,ALBEMARLE            ,15
2018,48,3,ALBEMARLE            ,18
2018,49,3,ALBEMARLE            ,25
2018,50,3,ALBEMARLE            ,22
2018,51,3,ALBEMARLE            ,23
2018,52,3,ALBEMARLE            ,22
2018,53,3,ALBEMARLE            ,4
2018,1,510,ALEXANDRIA                  ,16
2018,2,510,ALEXANDRIA                  ,17
2018,3,510,ALEXANDRIA                  ,17
2018,4,510,ALEXANDRIA                  ,20
2018,5,510,ALEXANDRIA                  ,11
2018,6,510,ALEXANDRIA                  ,15
2018,7,510,ALEXANDRIA                  ,23
2018,8,510,ALEXANDRIA                  ,19
2018,9,510,ALEXANDRIA                  ,15
2018,10,510,ALEXANDRIA                  ,10
2018,11,510,ALEXANDRIA                  ,19
2018,12,510,ALEXANDRIA                  ,21
2018,13,510,ALEXANDRIA                  ,14
2018,14,510,ALEXANDRIA                  ,23
2018,15,510,ALEXANDRIA                  ,15
2018,16,510,ALEXANDRIA                  ,18
2018,17,510,ALEXANDRIA                  ,15
2018,18,510,ALEXANDRIA                  ,13
2018,19,510,ALEXANDRIA                  ,21
2018,20,510,ALEXANDRIA                  ,15
2018,21,510,ALEXANDRIA                  ,14
2018,22,510,ALEXANDRIA                  ,13
2018,23,510,ALEXANDRIA                  ,11
2018,24,510,ALEXANDRIA                  ,14
2018,25,510,ALEXANDRIA                  ,6
2018,26,510,ALEXANDRIA                  ,18
2018,27,510,ALEXANDRIA                  ,12
2018,28,510,ALEXANDRIA                  ,13
2018,29,510,ALEXANDRIA                  ,12
2018,30,510,ALEXANDRIA                  ,8
2018,31,510,ALEXANDRIA                  ,9
2018,32,510,ALEXANDRIA                  ,15
2018,33,510,ALEXANDRIA                  ,19
2018,34,510,ALEXANDRIA                  ,11
2018,35,510,ALEXANDRIA                  ,14
2018,36,510,ALEXANDRIA                  ,12
2018,37,510,ALEXANDRIA                  ,8
2018,38,510,ALEXANDRIA                  ,11
2018,39,510,ALEXANDRIA                  ,12
2018,40,510,ALEXANDRIA                  ,8
2018,41,510,ALEXANDRIA                  ,11
2018,42,510,ALEXANDRIA                  ,10
2018,43,510,ALEXANDRIA                  ,13
2018,44,510,ALEXANDRIA                  ,11
2018,45,510,ALEXANDRIA                  ,12
2018,46,510,ALEXANDRIA                  ,12
2018,47,510,ALEXANDRIA                  ,17
2018,48,510,ALEXANDRIA                  ,15
2018,49,510,ALEXANDRIA                  ,19
2018,50,510,ALEXANDRIA                  ,27
2018,51,510,ALEXANDRIA                  ,22
2018,52,510,ALEXANDRIA                  ,20
2018,53,510,ALEXANDRIA                  ,1
2018,1,5,ALLEGHANY            ,4
2018,2,5,ALLEGHANY            ,7
2018,3,5,ALLEGHANY            ,6
2018,4,5,ALLEGHANY            ,3
2018,5,5,ALLEGHANY            ,0
2018,6,5,ALLEGHANY            ,5
2018,7,5,ALLEGHANY            ,5
2018,8,5,ALLEGHANY            ,1
2018,9,5,ALLEGHANY            ,1
2018,10,5,ALLEGHANY            ,5
2018,11,5,ALLEGHANY            ,0
2018,12,5,ALLEGHANY            ,7
2018,13,5,ALLEGHANY            ,1
2018,14,5,ALLEGHANY            ,10
2018,15,5,ALLEGHANY            ,6
2018,16,5,ALLEGHANY            ,5
2018,17,5,ALLEGHANY            ,2
2018,18,5,ALLEGHANY            ,2
2018,19,5,ALLEGHANY            ,5
2018,20,5,ALLEGHANY            ,5
2018,21,5,ALLEGHANY            ,4
2018,22,5,ALLEGHANY            ,0
2018,23,5,ALLEGHANY            ,8
2018,24,5,ALLEGHANY            ,4
2018,25,5,ALLEGHANY            ,4
2018,26,5,ALLEGHANY            ,7
2018,27,5,ALLEGHANY            ,0
2018,28,5,ALLEGHANY            ,3
2018,29,5,ALLEGHANY            ,2
2018,30,5,ALLEGHANY            ,5
2018,31,5,ALLEGHANY            ,7
2018,32,5,ALLEGHANY            ,6
2018,33,5,ALLEGHANY            ,3
2018,34,5,ALLEGHANY            ,3
2018,35,5,ALLEGHANY            ,7
2018,36,5,ALLEGHANY            ,3
2018,37,5,ALLEGHANY            ,1
2018,38,5,ALLEGHANY            ,5
2018,39,5,ALLEGHANY            ,5
2018,40,5,ALLEGHANY            ,1
2018,41,5,ALLEGHANY            ,2
2018,42,5,ALLEGHANY            ,6
2018,43,5,ALLEGHANY            ,0
2018,44,5,ALLEGHANY            ,9
2018,45,5,ALLEGHANY            ,5
2018,46,5,ALLEGHANY            ,4
2018,47,5,ALLEGHANY            ,7
2018,48,5,ALLEGHANY            ,7
2018,49,5,ALLEGHANY            ,4
2018,50,5,ALLEGHANY            ,8
2018,51,5,ALLEGHANY            ,5
2018,52,5,ALLEGHANY            ,5
2018,2,7,AMELIA               ,3
2018,3,7,AMELIA               ,0
2018,4,7,AMELIA               ,4
2018,5,7,AMELIA               ,0
2018,6,7,AMELIA               ,2
2018,7,7,AMELIA               ,0
2018,8,7,AMELIA               ,3
2018,9,7,AMELIA               ,1
2018,10,7,AMELIA               ,1
2018,11,7,AMELIA               ,1
2018,12,7,AMELIA               ,1
2018,13,7,AMELIA               ,1
2018,14,7,AMELIA               ,1
2018,15,7,AMELIA               ,1
2018,16,7,AMELIA               ,2
