forecast_date,target,target_end_date,location,type,quantile,value
2020-09-27,1 wk ahead cum death,2020-10-03,US,point,,209468
2020-09-27,1 wk ahead cum death,2020-10-03,Alabama,point,,2613
2020-09-27,1 wk ahead cum death,2020-10-03,Alaska,point,,83
2020-09-27,1 wk ahead cum death,2020-10-03,Arizona,point,,5717
2020-09-27,1 wk ahead cum death,2020-10-03,Arkansas,point,,1391
2020-09-27,1 wk ahead cum death,2020-10-03,California,point,,16055
2020-09-27,1 wk ahead cum death,2020-10-03,Colorado,point,,2104
2020-09-27,1 wk ahead cum death,2020-10-03,Connecticut,point,,4515
2020-09-27,1 wk ahead cum death,2020-10-03,Delaware,point,,640
2020-09-27,1 wk ahead cum death,2020-10-03,,point,,628
2020-09-27,1 wk ahead cum death,2020-10-03,Florida,point,,14505
2020-09-27,1 wk ahead cum death,2020-10-03,Georgia,point,,7125
2020-09-27,1 wk ahead cum death,2020-10-03,Hawaii,point,,146
2020-09-27,1 wk ahead cum death,2020-10-03,Idaho,point,,509
2020-09-27,1 wk ahead cum death,2020-10-03,Illinois,point,,8977
2020-09-27,1 wk ahead cum death,2020-10-03,Indiana,point,,3663
2020-09-27,1 wk ahead cum death,2020-10-03,Iowa,point,,1392
2020-09-27,1 wk ahead cum death,2020-10-03,Kansas,point,,749
2020-09-27,1 wk ahead cum death,2020-10-03,Kentucky,point,,1256
2020-09-27,1 wk ahead cum death,2020-10-03,Louisiana,point,,5540
2020-09-27,1 wk ahead cum death,2020-10-03,Maine,point,,151
2020-09-27,1 wk ahead cum death,2020-10-03,Maryland,point,,3972
2020-09-27,1 wk ahead cum death,2020-10-03,Massachusetts,point,,9452
2020-09-27,1 wk ahead cum death,2020-10-03,Michigan,point,,7145
2020-09-27,1 wk ahead cum death,2020-10-03,Minnesota,point,,2143
2020-09-27,1 wk ahead cum death,2020-10-03,Mississippi,point,,2990
2020-09-27,1 wk ahead cum death,2020-10-03,Missouri,point,,2180
2020-09-27,1 wk ahead cum death,2020-10-03,Montana,point,,228
