Week Ending Date,State,Excess Deaths
10/3/20,Alabama,84
10/10/20,Alabama,190
10/17/20,Alabama,184
10/24/20,Alabama,137
10/31/20,Alabama,141
11/7/20,Alabama,237
11/14/20,Alabama,232
11/21/20,Alabama,209
11/28/20,Alabama,247
12/5/20,Alabama,250
12/12/20,Alabama,481
12/19/20,Alabama,446
12/26/20,Alabama,482
1/2/21,Alabama,653
1/9/21,Alabama,625
1/16/21,Alabama,642
1/23/21,Alabama,599
1/30/21,Alabama,463
2/6/21,Alabama,336
2/13/21,Alabama,159
2/20/21,Alabama,58
2/27/21,Alabama,0
3/6/21,Alabama,0
10/3/20,Alaska,0
10/10/20,Alaska,14
10/17/20,Alaska,5
10/24/20,Alaska,8
10/31/20,Alaska,11
11/7/20,Alaska,15
11/14/20,Alaska,18
11/21/20,Alaska,27
11/28/20,Alaska,13
12/5/20,Alaska,15
12/12/20,Alaska,32
12/19/20,Alaska,1
12/26/20,Alaska,6
1/2/21,Alaska,1
1/9/21,Alaska,2
1/16/21,Alaska,19
1/23/21,Alaska,0
1/30/21,Alaska,0
2/6/21,Alaska,0
2/13/21,Alaska,0
2/20/21,Alaska,0
2/27/21,Alaska,0
3/6/21,Alaska,0
10/3/20,Arizona,50
10/10/20,Arizona,80
10/17/20,Arizona,88
10/24/20,Arizona,114
10/31/20,Arizona,137
11/7/20,Arizona,212
11/14/20,Arizona,55
11/21/20,Arizona,297
11/28/20,Arizona,295
12/5/20,Arizona,436
12/12/20,Arizona,743
12/19/20,Arizona,792
12/26/20,Arizona,877
1/2/21,Arizona,922
1/9/21,Arizona,1030
1/16/21,Arizona,1070
1/23/21,Arizona,1015
1/30/21,Arizona,675
2/6/21,Arizona,591
2/13/21,Arizona,341
2/20/21,Arizona,148
2/27/21,Arizona,75
3/6/21,Arizona,5
10/3/20,Arkansas,181
10/10/20,Arkansas,195
10/17/20,Arkansas,168
10/24/20,Arkansas,177
10/31/20,Arkansas,163
11/7/20,Arkansas,204
11/14/20,Arkansas,245
11/21/20,Arkansas,232
11/28/20,Arkansas,175
12/5/20,Arkansas,264
12/12/20,Arkansas,225
12/19/20,Arkansas,229
12/26/20,Arkansas,206
1/2/21,Arkansas,241
1/9/21,Arkansas,236
1/16/21,Arkansas,238
1/23/21,Arkansas,278
1/30/21,Arkansas,165
2/6/21,Arkansas,134
2/13/21,Arkansas,64
2/20/21,Arkansas,24
2/27/21,Arkansas,18
3/6/21,Arkansas,0
10/3/20,California,699
10/10/20,California,576
10/17/20,California,577
10/24/20,California,315
10/31/20,California,460
11/7/20,California,777
11/14/20,California,885
11/21/20,California,1173
11/28/20,California,1115
12/5/20,California,1806
12/12/20,California,2656
12/19/20,California,3582
12/26/20,California,4724
1/2/21,California,5238
1/9/21,California,5586
1/16/21,California,5057
1/23/21,California,3730
1/30/21,California,2874
2/6/21,California,1957
2/13/21,California,924
2/20/21,California,50
2/27/21,California,0
3/6/21,California,0
10/3/20,Colorado,14
10/10/20,Colorado,22
10/17/20,Colorado,77
10/24/20,Colorado,82
10/31/20,Colorado,117
11/7/20,Colorado,222
11/14/20,Colorado,247
11/21/20,Colorado,343
11/28/20,Colorado,413
12/5/20,Colorado,451
12/12/20,Colorado,456
12/19/20,Colorado,386
12/26/20,Colorado,261
1/2/21,Colorado,238
1/9/21,Colorado,211
1/16/21,Colorado,131
1/23/21,Colorado,104
1/30/21,Colorado,53
2/6/21,Colorado,50
2/13/21,Colorado,0
2/20/21,Colorado,20
2/27/21,Colorado,4
3/6/21,Colorado,0
10/3/20,Connecticut,26
10/10/20,Connecticut,30
10/17/20,Connecticut,14
10/24/20,Connecticut,68
10/31/20,Connecticut,20
11/7/20,Connecticut,106
11/14/20,Connecticut,80
11/21/20,Connecticut,190
11/28/20,Connecticut,223
12/5/20,Connecticut,315
12/12/20,Connecticut,318
12/19/20,Connecticut,354
12/26/20,Connecticut,393
1/2/21,Connecticut,380
1/9/21,Connecticut,259
1/16/21,Connecticut,240
1/23/21,Connecticut,193
1/30/21,Connecticut,148
2/6/21,Connecticut,0
2/13/21,Connecticut,0
2/20/21,Connecticut,0
2/27/21,Connecticut,0
3/6/21,Connecticut,0
10/3/20,Delaware,21
10/10/20,Delaware,19
10/17/20,Delaware,21
10/24/20,Delaware,29
10/31/20,Delaware,12
11/7/20,Delaware,9
11/14/20,Delaware,0
11/21/20,Delaware,34
11/28/20,Delaware,7
12/5/20,Delaware,31
12/12/20,Delaware,51
12/19/20,Delaware,47
12/26/20,Delaware,68
1/2/21,Delaware,66
1/9/21,Delaware,49
1/16/21,Delaware,41
1/23/21,Delaware,54
1/30/21,Delaware,18
2/6/21,Delaware,10
2/13/21,Delaware,0
2/20/21,Delaware,0
2/27/21,Delaware,0
3/6/21,Delaware,0
10/3/20,District of Columbia,26
