DEATH_YEAR,WEEK_NUM,FIPS,COUNTY,NUMBER_OF_DEATHS
2019,1,1,ACCOMACK             ,7
2019,2,1,ACCOMACK             ,7
2019,3,1,ACCOMACK             ,9
2019,4,1,ACCOMACK             ,9
2019,5,1,ACCOMACK             ,2
2019,6,1,ACCOMACK             ,3
2019,7,1,ACCOMACK             ,5
2019,8,1,ACCOMACK             ,8
2019,9,1,ACCOMACK             ,5
2019,10,1,ACCOMACK             ,5
2019,11,1,ACCOMACK             ,6
2019,12,1,ACCOMACK             ,0
2019,13,1,ACCOMACK             ,7
2019,14,1,ACCOMACK             ,12
2019,15,1,ACCOMACK             ,14
2019,16,1,ACCOMACK             ,6
2019,17,1,ACCOMACK             ,5
2019,18,1,ACCOMACK             ,10
2019,19,1,ACCOMACK             ,7
2019,20,1,ACCOMACK             ,5
2019,21,1,ACCOMACK             ,8
2019,22,1,ACCOMACK             ,7
2019,23,1,ACCOMACK             ,10
2019,24,1,ACCOMACK             ,10
2019,25,1,ACCOMACK             ,6
2019,26,1,ACCOMACK             ,6
2019,27,1,ACCOMACK             ,3
2019,28,1,ACCOMACK             ,10
2019,29,1,ACCOMACK             ,12
2019,30,1,ACCOMACK             ,2
2019,31,1,ACCOMACK             ,7
2019,32,1,ACCOMACK             ,3
2019,33,1,ACCOMACK             ,10
2019,34,1,ACCOMACK             ,12
2019,35,1,ACCOMACK             ,7
2019,36,1,ACCOMACK             ,5
2019,37,1,ACCOMACK             ,5
2019,38,1,ACCOMACK             ,7
2019,39,1,ACCOMACK             ,6
2019,40,1,ACCOMACK             ,9
2019,41,1,ACCOMACK             ,8
2019,42,1,ACCOMACK             ,9
2019,43,1,ACCOMACK             ,10
2019,44,1,ACCOMACK             ,9
2019,45,1,ACCOMACK             ,2
2019,46,1,ACCOMACK             ,7
2019,47,1,ACCOMACK             ,9
2019,48,1,ACCOMACK             ,6
2019,49,1,ACCOMACK             ,6
2019,50,1,ACCOMACK             ,1
2019,51,1,ACCOMACK             ,10
2019,52,1,ACCOMACK             ,8
2019,53,1,ACCOMACK             ,2
2019,1,3,ALBEMARLE            ,25
2019,2,3,ALBEMARLE            ,32
2019,3,3,ALBEMARLE            ,26
2019,4,3,ALBEMARLE            ,26
2019,5,3,ALBEMARLE            ,22
2019,6,3,ALBEMARLE            ,22
2019,7,3,ALBEMARLE            ,20
2019,8,3,ALBEMARLE            ,23
2019,9,3,ALBEMARLE            ,28
2019,10,3,ALBEMARLE            ,27
2019,11,3,ALBEMARLE            ,22
2019,12,3,ALBEMARLE            ,27
2019,13,3,ALBEMARLE            ,22
2019,14,3,ALBEMARLE            ,28
2019,15,3,ALBEMARLE            ,27
2019,16,3,ALBEMARLE            ,26
2019,17,3,ALBEMARLE            ,11
2019,18,3,ALBEMARLE            ,23
2019,19,3,ALBEMARLE            ,28
2019,20,3,ALBEMARLE            ,22
2019,21,3,ALBEMARLE            ,29
2019,22,3,ALBEMARLE            ,26
2019,23,3,ALBEMARLE            ,20
2019,24,3,ALBEMARLE            ,19
2019,25,3,ALBEMARLE            ,20
2019,26,3,ALBEMARLE            ,24
2019,27,3,ALBEMARLE            ,24
2019,28,3,ALBEMARLE            ,23
2019,29,3,ALBEMARLE            ,13
2019,30,3,ALBEMARLE            ,12
2019,31,3,ALBEMARLE            ,24
2019,32,3,ALBEMARLE            ,23
2019,33,3,ALBEMARLE            ,16
2019,34,3,ALBEMARLE            ,16
2019,35,3,ALBEMARLE            ,21
2019,36,3,ALBEMARLE            ,18
2019,37,3,ALBEMARLE            ,17
2019,38,3,ALBEMARLE            ,18
2019,39,3,ALBEMARLE            ,20
2019,40,3,ALBEMARLE            ,24
2019,41,3,ALBEMARLE            ,28
2019,42,3,ALBEMARLE            ,11
2019,43,3,ALBEMARLE            ,24
2019,44,3,ALBEMARLE            ,28
2019,45,3,ALBEMARLE            ,24
2019,46,3,ALBEMARLE            ,11
2019,47,3,ALBEMARLE            ,25
2019,48,3,ALBEMARLE            ,18
2019,49,3,ALBEMARLE            ,19
2019,50,3,ALBEMARLE            ,21
2019,51,3,ALBEMARLE            ,12
2019,52,3,ALBEMARLE            ,21
2019,53,3,ALBEMARLE            ,5
2019,1,510,ALEXANDRIA                  ,13
2019,2,510,ALEXANDRIA                  ,12
2019,3,510,ALEXANDRIA                  ,14
2019,4,510,ALEXANDRIA                  ,17
2019,5,510,ALEXANDRIA                  ,19
2019,6,510,ALEXANDRIA                  ,18
2019,7,510,ALEXANDRIA                  ,16
2019,8,510,ALEXANDRIA                  ,12
2019,9,510,ALEXANDRIA                  ,22
2019,10,510,ALEXANDRIA                  ,11
2019,11,510,ALEXANDRIA                  ,17
2019,12,510,ALEXANDRIA                  ,19
2019,13,510,ALEXANDRIA                  ,9
2019,14,510,ALEXANDRIA                  ,6
2019,15,510,ALEXANDRIA                  ,16
