COUNTY,STNAME,CTYNAME
0,Alabama,Alabama
1,Alabama,Autauga
3,Alabama,Baldwin
5,Alabama,Barbour
7,Alabama,Bibb
9,Alabama,Blount
11,Alabama,Bullock
13,Alabama,Butler
15,Alabama,Calhoun
17,Alabama,Chambers
19,Alabama,Cherokee
21,Alabama,Chilton
23,Alabama,Choctaw
25,Alabama,Clarke
27,Alabama,Clay
29,Alabama,Cleburne
31,Alabama,Coffee
33,Alabama,Colbert
35,Alabama,Conecuh
37,Alabama,Coosa
39,Alabama,Covington
41,Alabama,Crenshaw
43,Alabama,Cullman
45,Alabama,Dale
47,Alabama,Dallas
49,Alabama,DeKalb
51,Alabama,Elmore
53,Alabama,Escambia
55,Alabama,Etowah
57,Alabama,Fayette
59,Alabama,Franklin
61,Alabama,Geneva
63,Alabama,Greene
65,Alabama,Hale
67,Alabama,Henry
69,Alabama,Houston
71,Alabama,Jackson
73,Alabama,Jefferson
75,Alabama,Lamar
77,Alabama,Lauderdale
79,Alabama,Lawrence
81,Alabama,Lee
83,Alabama,Limestone
85,Alabama,Lowndes
87,Alabama,Macon
89,Alabama,Madison
91,Alabama,Marengo
93,Alabama,Marion
95,Alabama,Marshall
97,Alabama,Mobile
99,Alabama,Monroe
101,Alabama,Montgomery
103,Alabama,Morgan
105,Alabama,Perry
107,Alabama,Pickens
109,Alabama,Pike
111,Alabama,Randolph
113,Alabama,Russell
115,Alabama,St. Clair
117,Alabama,Shelby
119,Alabama,Sumter
121,Alabama,Talladega
123,Alabama,Tallapoosa
125,Alabama,Tuscaloosa
127,Alabama,Walker
129,Alabama,Washington
131,Alabama,Wilcox
133,Alabama,Winston
0,Alaska,Alaska
13,Alaska,Aleutians East Borough
16,Alaska,Aleutians West Census Area
20,Alaska,Anchorage Municipality
50,Alaska,Bethel Census Area
60,Alaska,Bristol Bay Borough
68,Alaska,Denali Borough
70,Alaska,Dillingham Census Area
90,Alaska,Fairbanks North Star Borough
100,Alaska,Haines Borough
105,Alaska,Hoonah-Angoon Census Area
110,Alaska,Juneau City and Borough
122,Alaska,Kenai Peninsula Borough
130,Alaska,Ketchikan Gateway Borough
150,Alaska,Kodiak Island Borough
158,Alaska,Kusilvak Census Area
164,Alaska,Lake and Peninsula Borough
170,Alaska,Matanuska-Susitna Borough
180,Alaska,Nome Census Area
185,Alaska,North Slope Borough
188,Alaska,Northwest Arctic Borough
195,Alaska,Petersburg Borough
198,Alaska,Prince of Wales-Hyder Census Area
220,Alaska,Sitka City and Borough
230,Alaska,Skagway Municipality
240,Alaska,Southeast Fairbanks Census Area
261,Alaska,Valdez-Cordova Census Area
275,Alaska,Wrangell City and Borough
282,Alaska,Yakutat City and Borough
290,Alaska,Yukon-Koyukuk Census Area
0,Arizona,Arizona
1,Arizona,Apache
3,Arizona,Cochise
5,Arizona,Coconino
7,Arizona,Gila
9,Arizona,Graham
11,Arizona,Greenlee
12,Arizona,La Paz
13,Arizona,Maricopa
15,Arizona,Mohave
17,Arizona,Navajo
19,Arizona,Pima
21,Arizona,Pinal
23,Arizona,Santa Cruz
25,Arizona,Yavapai
27,Arizona,Yuma
0,Arkansas,Arkansas
1,Arkansas,Arkansas
3,Arkansas,Ashley
5,Arkansas,Baxter
7,Arkansas,Benton
9,Arkansas,Boone
11,Arkansas,Bradley
13,Arkansas,Calhoun
15,Arkansas,Carroll
17,Arkansas,Chicot
19,Arkansas,Clark
21,Arkansas,Clay
23,Arkansas,Cleburne
25,Arkansas,Cleveland
27,Arkansas,Columbia
29,Arkansas,Conway
31,Arkansas,Craighead
33,Arkansas,Crawford
35,Arkansas,Crittenden
37,Arkansas,Cross
39,Arkansas,Dallas
41,Arkansas,Desha
43,Arkansas,Drew
45,Arkansas,Faulkner
47,Arkansas,Franklin
49,Arkansas,Fulton
51,Arkansas,Garland
53,Arkansas,Grant
55,Arkansas,Greene
57,Arkansas,Hempstead
59,Arkansas,Hot Spring
61,Arkansas,Howard
63,Arkansas,Independence
65,Arkansas,Izard
67,Arkansas,Jackson
69,Arkansas,Jefferson
71,Arkansas,Johnson
73,Arkansas,Lafayette
75,Arkansas,Lawrence
77,Arkansas,Lee
79,Arkansas,Lincoln
81,Arkansas,Little River
83,Arkansas,Logan
85,Arkansas,Lonoke
87,Arkansas,Madison
89,Arkansas,Marion
91,Arkansas,Miller
93,Arkansas,Mississippi
95,Arkansas,Monroe
97,Arkansas,Montgomery
99,Arkansas,Nevada
101,Arkansas,Newton
103,Arkansas,Ouachita
105,Arkansas,Perry
107,Arkansas,Phillips
109,Arkansas,Pike
111,Arkansas,Poinsett
113,Arkansas,Polk
115,Arkansas,Pope
117,Arkansas,Prairie
119,Arkansas,Pulaski
121,Arkansas,Randolph
123,Arkansas,St. Francis
125,Arkansas,Saline
127,Arkansas,Scott
129,Arkansas,Searcy
131,Arkansas,Sebastian
133,Arkansas,Sevier
135,Arkansas,Sharp
137,Arkansas,Stone
139,Arkansas,Union
141,Arkansas,Van Buren
143,Arkansas,Washington
145,Arkansas,White
147,Arkansas,Woodruff
149,Arkansas,Yell
