Week Ending Date,Excess Lower Estimate,Excess Higher Estimate,Week
1/4/20,0,0,0
1/11/20,0,36,1
1/18/20,0,11,2
1/25/20,0,0,3
2/1/20,0,0,4
2/8/20,0,0,5
2/15/20,0,18,6
2/22/20,0,0,7
2/29/20,0,0,8
3/7/20,0,6,9
3/14/20,0,10,10
3/21/20,0,21,11
3/28/20,0,8,12
4/4/20,0,25,13
4/11/20,0,0,14
4/18/20,0,5,15
4/25/20,0,23,16
5/2/20,0,0,17
5/9/20,0,0,18
5/16/20,0,26,19
5/23/20,0,0,20
5/30/20,0,13,21
6/6/20,0,27,22
6/13/20,0,13,23
6/20/20,0,27,24
6/27/20,0,21,25
7/4/20,34,73,26
7/11/20,5,44,27
7/18/20,32,70,28
7/25/20,38,77,29
8/1/20,33,72,30
8/8/20,54,92,31
8/15/20,51,89,32
8/22/20,24,63,33
8/29/20,0,18,34
9/5/20,0,6,35
9/12/20,0,20,36
9/19/20,1,40,37
9/26/20,39,78,38
10/3/20,0,25,39
10/10/20,33,72,40
10/17/20,17,56,41
10/24/20,32,71,42
10/31/20,56,95,43
11/7/20,45,84,44
11/14/20,65,104,45
11/21/20,126,165,46
11/28/20,63,102,47
12/5/20,90,130,48
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
