State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
13,1,2015,1,Constant,0,0.0
13,1,2016,1,Constant,10,0.0
13,1,2017,1,Constant,21,0.0
13,1,2018,1,Constant,21,0.0
13,1,2019,1,Constant,5,0.0
13,1,2020,1,Constant,5,-6.4
13,1,2015,1,Lagged,0,0.0
13,1,2016,1,Lagged,10,0.0
13,1,2017,1,Lagged,21,0.0
13,1,2018,1,Lagged,21,0.0
13,1,2019,1,Lagged,5,0.0
13,1,2020,1,Lagged,5,-6.4
13,1,2015,2,Constant,21,0.0
13,1,2016,2,Constant,21,0.0
13,1,2017,2,Constant,10,0.0
13,1,2018,2,Constant,27,0.0
13,1,2019,2,Constant,32,0.0
13,1,2020,2,Constant,27,4.8
13,1,2015,2,Lagged,21,0.0
13,1,2016,2,Lagged,21,0.0
13,1,2017,2,Lagged,10,0.0
13,1,2018,2,Lagged,27,0.0
13,1,2019,2,Lagged,32,0.0
13,1,2020,2,Lagged,27,4.8
13,1,2015,3,Constant,21,0.0
13,1,2016,3,Constant,16,0.0
13,1,2017,3,Constant,21,0.0
13,1,2018,3,Constant,16,0.0
13,1,2019,3,Constant,10,0.0
13,1,2020,3,Constant,5,-11.8
13,1,2015,3,Lagged,21,0.0
13,1,2016,3,Lagged,16,0.0
13,1,2017,3,Lagged,21,0.0
13,1,2018,3,Lagged,16,0.0
13,1,2019,3,Lagged,10,0.0
13,1,2020,3,Lagged,5,-11.8
13,1,2015,4,Constant,32,0.0
13,1,2016,4,Constant,16,0.0
13,1,2017,4,Constant,21,0.0
13,1,2018,4,Constant,10,0.0
13,1,2019,4,Constant,16,0.0
13,1,2020,4,Constant,5,-14.0
13,1,2015,4,Lagged,32,0.0
13,1,2016,4,Lagged,16,0.0
13,1,2017,4,Lagged,21,0.0
13,1,2018,4,Lagged,10,0.0
13,1,2019,4,Lagged,16,0.0
13,1,2020,4,Lagged,5,-14.0
13,1,2015,5,Constant,10,0.0
13,1,2016,5,Constant,0,0.0
13,1,2017,5,Constant,16,0.0
13,1,2018,5,Constant,16,0.0
13,1,2019,5,Constant,5,0.0
13,1,2020,5,Constant,0,-9.4
13,1,2015,5,Lagged,10,0.0
13,1,2016,5,Lagged,0,0.0
13,1,2017,5,Lagged,16,0.0
13,1,2018,5,Lagged,16,0.0
13,1,2019,5,Lagged,5,0.0
13,1,2020,5,Lagged,0,-9.4
13,1,2015,6,Constant,16,0.0
13,1,2016,6,Constant,10,0.0
13,1,2017,6,Constant,10,0.0
13,1,2018,6,Constant,16,0.0
13,1,2019,6,Constant,0,0.0
13,1,2020,6,Constant,10,-0.4
13,1,2015,6,Lagged,16,0.0
13,1,2016,6,Lagged,10,0.0
13,1,2017,6,Lagged,10,0.0
13,1,2018,6,Lagged,16,0.0
13,1,2019,6,Lagged,0,0.0
13,1,2020,6,Lagged,10,-0.4
13,1,2015,7,Constant,10,0.0
13,1,2016,7,Constant,5,0.0
13,1,2017,7,Constant,21,0.0
13,1,2018,7,Constant,5,0.0
13,1,2019,7,Constant,21,0.0
13,1,2020,7,Constant,5,-7.4
13,1,2015,7,Lagged,10,0.0
13,1,2016,7,Lagged,5,0.0
13,1,2017,7,Lagged,21,0.0
13,1,2018,7,Lagged,5,0.0
13,1,2019,7,Lagged,21,0.0
13,1,2020,7,Lagged,5,-7.4
13,1,2015,8,Constant,27,0.0
13,1,2016,8,Constant,21,0.0
13,1,2017,8,Constant,5,0.0
13,1,2018,8,Constant,10,0.0
13,1,2019,8,Constant,32,0.0
13,1,2020,8,Constant,16,-3.0
13,1,2015,8,Lagged,27,0.0
13,1,2016,8,Lagged,21,0.0
13,1,2017,8,Lagged,5,0.0
13,1,2018,8,Lagged,10,0.0
13,1,2019,8,Lagged,32,0.0
13,1,2020,8,Lagged,16,-3.0
13,1,2015,9,Constant,21,0.0
13,1,2016,9,Constant,16,0.0
13,1,2017,9,Constant,16,0.0
13,1,2018,9,Constant,10,0.0
13,1,2019,9,Constant,10,0.0
13,1,2020,9,Constant,10,-4.6
13,1,2015,9,Lagged,21,0.0
13,1,2016,9,Lagged,16,0.0
13,1,2017,9,Lagged,16,0.0
13,1,2018,9,Lagged,10,0.0
13,1,2019,9,Lagged,10,0.0
13,1,2020,9,Lagged,10,-4.6
13,1,2015,10,Constant,16,0.0
13,1,2016,10,Constant,27,0.0
13,1,2017,10,Constant,21,0.0
13,1,2018,10,Constant,21,0.0
13,1,2019,10,Constant,21,0.0
13,1,2020,10,Constant,5,-16.2
13,1,2015,10,Lagged,16,0.0
13,1,2016,10,Lagged,27,0.0
13,1,2017,10,Lagged,21,0.0
13,1,2018,10,Lagged,21,0.0
13,1,2019,10,Lagged,21,0.0
13,1,2020,10,Lagged,5,-16.2
13,1,2015,11,Constant,21,0.0
13,1,2016,11,Constant,10,0.0
13,1,2017,11,Constant,10,0.0
13,1,2018,11,Constant,5,0.0
13,1,2019,11,Constant,10,0.0
13,1,2020,11,Constant,21,9.8
13,1,2015,11,Lagged,21,0.0
13,1,2016,11,Lagged,10,0.0
13,1,2017,11,Lagged,10,0.0
13,1,2018,11,Lagged,5,0.0
13,1,2019,11,Lagged,10,0.0
13,1,2020,11,Lagged,21,9.8
13,1,2015,12,Constant,21,0.0
13,1,2016,12,Constant,21,0.0
13,1,2017,12,Constant,21,0.0
13,1,2018,12,Constant,16,0.0
13,1,2019,12,Constant,21,0.0
13,1,2020,12,Constant,27,7.0
13,1,2015,12,Lagged,21,0.0
13,1,2016,12,Lagged,21,0.0
13,1,2017,12,Lagged,21,0.0
13,1,2018,12,Lagged,16,0.0
13,1,2019,12,Lagged,21,0.0
13,1,2020,12,Lagged,27,7.0
13,1,2015,13,Constant,21,0.0
13,1,2016,13,Constant,16,0.0
13,1,2017,13,Constant,21,0.0
13,1,2018,13,Constant,5,0.0
13,1,2019,13,Constant,10,0.0
13,1,2020,13,Constant,16,1.4
13,1,2015,13,Lagged,21,0.0
13,1,2016,13,Lagged,16,0.0
13,1,2017,13,Lagged,21,0.0
13,1,2018,13,Lagged,5,0.0
13,1,2019,13,Lagged,10,0.0
13,1,2020,13,Lagged,16,1.4
13,1,2015,14,Constant,10,0.0
13,1,2016,14,Constant,16,0.0
13,1,2017,14,Constant,16,0.0
13,1,2018,14,Constant,10,0.0
13,1,2019,14,Constant,5,0.0
13,1,2020,14,Constant,10,-1.4
13,1,2015,14,Lagged,10,0.0
13,1,2016,14,Lagged,16,0.0
13,1,2017,14,Lagged,16,0.0
13,1,2018,14,Lagged,10,0.0
13,1,2019,14,Lagged,5,0.0
13,1,2020,14,Lagged,10,-1.4
13,1,2015,15,Constant,27,0.0
13,1,2016,15,Constant,10,0.0
13,1,2017,15,Constant,16,0.0
13,1,2018,15,Constant,10,0.0
13,1,2019,15,Constant,21,0.0
13,1,2020,15,Constant,10,-6.8
13,1,2015,15,Lagged,27,0.0
13,1,2016,15,Lagged,10,0.0
13,1,2017,15,Lagged,16,0.0
