State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k,Age_Adjusted_Deaths_LT_65_Per100k,Age_Adjusted_Deaths_GTE_65_Per100k,Excess_Age_Adjusted_Deaths_LT_65_Per100k,Excess_Age_Adjusted_Deaths_GTE_65_Per100k
30,1,2015,1,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,1,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,1,Constant,10,0.0,10,0,0.0,0.0
30,1,2018,1,Constant,21,0.0,10,10,0.0,0.0
30,1,2019,1,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,1,Constant,21,8.8,0,21,-4.0,13.0
30,1,2015,1,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,1,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,1,Lagged,10,0.0,10,0,0.0,0.0
30,1,2018,1,Lagged,21,0.0,10,10,0.0,0.0
30,1,2019,1,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,1,Lagged,21,8.8,0,21,-4.0,13.0
30,1,2015,2,Constant,31,0.0,0,31,0.0,0.0
30,1,2016,2,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,2,Constant,10,0.0,0,10,0.0,0.0
30,1,2018,2,Constant,0,0.0,0,0,0.0,0.0
30,1,2019,2,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,2,Constant,42,29.8,31,10,31.0,-2.2
30,1,2015,2,Lagged,32,0.0,0,32,0.0,0.0
30,1,2016,2,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,2,Lagged,10,0.0,0,10,0.0,0.0
30,1,2018,2,Lagged,0,0.0,0,0,0.0,0.0
30,1,2019,2,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,2,Lagged,42,29.6,31,10,31.0,-2.4
30,1,2015,3,Constant,31,0.0,0,31,0.0,0.0
30,1,2016,3,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,3,Constant,63,0.0,10,52,0.0,0.0
30,1,2018,3,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,3,Constant,21,0.0,0,21,0.0,0.0
30,1,2020,3,Constant,42,12.8,10,31,8.0,4.0
30,1,2015,3,Lagged,32,0.0,0,32,0.0,0.0
30,1,2016,3,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,3,Lagged,63,0.0,10,52,0.0,0.0
30,1,2018,3,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,3,Lagged,21,0.0,0,21,0.0,0.0
30,1,2020,3,Lagged,42,12.6,10,31,8.0,3.8
30,1,2015,4,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,4,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,4,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,4,Constant,0,0.0,0,0,0.0,0.0
30,1,2019,4,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,4,Constant,10,-0.2,0,10,0.0,-0.2
30,1,2015,4,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,4,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,4,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,4,Lagged,0,0.0,0,0,0.0,0.0
30,1,2019,4,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,4,Lagged,10,-0.2,0,10,0.0,-0.2
30,1,2015,5,Constant,10,0.0,0,10,0.0,0.0
30,1,2016,5,Constant,10,0.0,0,10,0.0,0.0
30,1,2017,5,Constant,21,0.0,0,21,0.0,0.0
30,1,2018,5,Constant,21,0.0,0,21,0.0,0.0
30,1,2019,5,Constant,10,0.0,0,10,0.0,0.0
30,1,2020,5,Constant,31,16.6,0,31,0.0,16.6
30,1,2015,5,Lagged,10,0.0,0,10,0.0,0.0
30,1,2016,5,Lagged,10,0.0,0,10,0.0,0.0
30,1,2017,5,Lagged,21,0.0,0,21,0.0,0.0
30,1,2018,5,Lagged,21,0.0,0,21,0.0,0.0
30,1,2019,5,Lagged,10,0.0,0,10,0.0,0.0
30,1,2020,5,Lagged,31,16.6,0,31,0.0,16.6
