State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
32,1.0,2015,1,Constant,16,0.0
32,1.0,2016,1,Constant,12,0.0
32,1.0,2017,1,Constant,24,0.0
32,1.0,2018,1,Constant,20,0.0
32,1.0,2019,1,Constant,8,0.0
32,1.0,2020,1,Constant,16,0.0
32,1.0,2015,1,Lagged,16,0.0
32,1.0,2016,1,Lagged,12,0.0
32,1.0,2017,1,Lagged,25,0.0
32,1.0,2018,1,Lagged,20,0.0
32,1.0,2019,1,Lagged,8,0.0
32,1.0,2020,1,Lagged,16,-0.2
32,1.0,2015,2,Constant,29,0.0
32,1.0,2016,2,Constant,29,0.0
32,1.0,2017,2,Constant,16,0.0
32,1.0,2018,2,Constant,29,0.0
32,1.0,2019,2,Constant,8,0.0
32,1.0,2020,2,Constant,29,6.8
32,1.0,2015,2,Lagged,29,0.0
32,1.0,2016,2,Lagged,29,0.0
32,1.0,2017,2,Lagged,16,0.0
32,1.0,2018,2,Lagged,29,0.0
32,1.0,2019,2,Lagged,8,0.0
32,1.0,2020,2,Lagged,28,5.8
32,1.0,2015,3,Constant,24,0.0
32,1.0,2016,3,Constant,12,0.0
32,1.0,2017,3,Constant,24,0.0
32,1.0,2018,3,Constant,20,0.0
32,1.0,2019,3,Constant,24,0.0
32,1.0,2020,3,Constant,20,-0.8
32,1.0,2015,3,Lagged,25,0.0
32,1.0,2016,3,Lagged,12,0.0
32,1.0,2017,3,Lagged,25,0.0
32,1.0,2018,3,Lagged,20,0.0
32,1.0,2019,3,Lagged,24,0.0
32,1.0,2020,3,Lagged,20,-1.2
32,1.0,2015,4,Constant,45,0.0
32,1.0,2016,4,Constant,24,0.0
32,1.0,2017,4,Constant,8,0.0
32,1.0,2018,4,Constant,24,0.0
32,1.0,2019,4,Constant,8,0.0
32,1.0,2020,4,Constant,12,-9.8
32,1.0,2015,4,Lagged,46,0.0
32,1.0,2016,4,Lagged,25,0.0
32,1.0,2017,4,Lagged,8,0.0
32,1.0,2018,4,Lagged,24,0.0
32,1.0,2019,4,Lagged,8,0.0
32,1.0,2020,4,Lagged,12,-10.2
32,1.0,2015,5,Constant,16,0.0
32,1.0,2016,5,Constant,33,0.0
32,1.0,2017,5,Constant,8,0.0
32,1.0,2018,5,Constant,20,0.0
32,1.0,2019,5,Constant,24,0.0
32,1.0,2020,5,Constant,12,-8.2
32,1.0,2015,5,Lagged,16,0.0
32,1.0,2016,5,Lagged,33,0.0
32,1.0,2017,5,Lagged,8,0.0
32,1.0,2018,5,Lagged,20,0.0
32,1.0,2019,5,Lagged,24,0.0
32,1.0,2020,5,Lagged,12,-8.2
32,1.0,2015,6,Constant,20,0.0
32,1.0,2016,6,Constant,29,0.0
32,1.0,2017,6,Constant,29,0.0
32,1.0,2018,6,Constant,16,0.0
32,1.0,2019,6,Constant,37,0.0
32,1.0,2020,6,Constant,0,-26.2
32,1.0,2015,6,Lagged,20,0.0
32,1.0,2016,6,Lagged,29,0.0
32,1.0,2017,6,Lagged,29,0.0
32,1.0,2018,6,Lagged,16,0.0
32,1.0,2019,6,Lagged,36,0.0
32,1.0,2020,6,Lagged,0,-26.0
32,1.0,2015,7,Constant,16,0.0
32,1.0,2016,7,Constant,16,0.0
32,1.0,2017,7,Constant,20,0.0
32,1.0,2018,7,Constant,49,0.0
32,1.0,2019,7,Constant,12,0.0
32,1.0,2020,7,Constant,24,1.4
32,1.0,2015,7,Lagged,16,0.0
32,1.0,2016,7,Lagged,16,0.0
32,1.0,2017,7,Lagged,20,0.0
32,1.0,2018,7,Lagged,49,0.0
32,1.0,2019,7,Lagged,12,0.0
32,1.0,2020,7,Lagged,24,1.4
32,1.0,2015,8,Constant,8,0.0
32,1.0,2016,8,Constant,41,0.0
