DEATH_YEAR,WEEK_NUM,FIPS,COUNTY,NUMBER_OF_DEATHS
2016,1,1,ACCOMACK             ,5
2016,2,1,ACCOMACK             ,6
2016,3,1,ACCOMACK             ,7
2016,4,1,ACCOMACK             ,7
2016,5,1,ACCOMACK             ,6
2016,6,1,ACCOMACK             ,3
2016,7,1,ACCOMACK             ,6
2016,8,1,ACCOMACK             ,4
2016,9,1,ACCOMACK             ,9
2016,10,1,ACCOMACK             ,5
2016,11,1,ACCOMACK             ,8
2016,12,1,ACCOMACK             ,3
2016,13,1,ACCOMACK             ,6
2016,14,1,ACCOMACK             ,3
2016,15,1,ACCOMACK             ,5
2016,16,1,ACCOMACK             ,10
2016,17,1,ACCOMACK             ,5
2016,18,1,ACCOMACK             ,5
2016,19,1,ACCOMACK             ,6
2016,20,1,ACCOMACK             ,1
2016,21,1,ACCOMACK             ,5
2016,22,1,ACCOMACK             ,5
2016,23,1,ACCOMACK             ,10
2016,24,1,ACCOMACK             ,8
2016,25,1,ACCOMACK             ,3
2016,26,1,ACCOMACK             ,8
2016,27,1,ACCOMACK             ,7
2016,28,1,ACCOMACK             ,7
2016,29,1,ACCOMACK             ,6
2016,30,1,ACCOMACK             ,7
2016,31,1,ACCOMACK             ,6
2016,32,1,ACCOMACK             ,3
2016,33,1,ACCOMACK             ,2
2016,34,1,ACCOMACK             ,5
2016,35,1,ACCOMACK             ,1
2016,36,1,ACCOMACK             ,2
2016,37,1,ACCOMACK             ,9
2016,38,1,ACCOMACK             ,2
2016,39,1,ACCOMACK             ,3
2016,40,1,ACCOMACK             ,1
2016,41,1,ACCOMACK             ,7
2016,42,1,ACCOMACK             ,5
2016,43,1,ACCOMACK             ,6
2016,44,1,ACCOMACK             ,5
2016,45,1,ACCOMACK             ,6
2016,46,1,ACCOMACK             ,8
2016,47,1,ACCOMACK             ,5
2016,48,1,ACCOMACK             ,0
2016,49,1,ACCOMACK             ,6
2016,50,1,ACCOMACK             ,3
2016,51,1,ACCOMACK             ,7
2016,52,1,ACCOMACK             ,2
2016,1,3,ALBEMARLE            ,19
2016,2,3,ALBEMARLE            ,19
2016,3,3,ALBEMARLE            ,10
2016,4,3,ALBEMARLE            ,17
2016,5,3,ALBEMARLE            ,13
2016,6,3,ALBEMARLE            ,22
2016,7,3,ALBEMARLE            ,17
2016,8,3,ALBEMARLE            ,18
2016,9,3,ALBEMARLE            ,27
