State_FIPS,County_FIPS,Year,Week,Population_Adjustment,Deaths_Per100k,Excess_Deaths_Per100k
51,1,2015,1,Constant,6,0.0
51,1,2016,1,Constant,15,0.0
51,1,2017,1,Constant,12,0.0
51,1,2018,1,Constant,36,0.0
51,1,2019,1,Constant,21,0.0
51,1,2020,1,Constant,18,0.0
51,1,2015,1,Lagged,6,0.0
51,1,2016,1,Lagged,15,0.0
51,1,2017,1,Lagged,12,0.0
51,1,2018,1,Lagged,36,0.0
51,1,2019,1,Lagged,21,0.0
51,1,2020,1,Lagged,18,0.0
51,1,2015,2,Constant,9,0.0
51,1,2016,2,Constant,18,0.0
51,1,2017,2,Constant,15,0.0
51,1,2018,2,Constant,27,0.0
51,1,2019,2,Constant,21,0.0
51,1,2020,2,Constant,33,15.0
51,1,2015,2,Lagged,9,0.0
51,1,2016,2,Lagged,18,0.0
51,1,2017,2,Lagged,15,0.0
51,1,2018,2,Lagged,27,0.0
51,1,2019,2,Lagged,21,0.0
51,1,2020,2,Lagged,34,16.0
51,1,2015,3,Constant,18,0.0
51,1,2016,3,Constant,21,0.0
51,1,2017,3,Constant,18,0.0
51,1,2018,3,Constant,15,0.0
51,1,2019,3,Constant,27,0.0
51,1,2020,3,Constant,21,1.2
51,1,2015,3,Lagged,18,0.0
51,1,2016,3,Lagged,21,0.0
51,1,2017,3,Lagged,18,0.0
51,1,2018,3,Lagged,15,0.0
51,1,2019,3,Lagged,27,0.0
51,1,2020,3,Lagged,21,1.2
51,1,2015,4,Constant,15,0.0
51,1,2016,4,Constant,21,0.0
51,1,2017,4,Constant,12,0.0
51,1,2018,4,Constant,18,0.0
51,1,2019,4,Constant,27,0.0
51,1,2020,4,Constant,30,11.4
51,1,2015,4,Lagged,15,0.0
51,1,2016,4,Lagged,21,0.0
51,1,2017,4,Lagged,12,0.0
51,1,2018,4,Lagged,18,0.0
51,1,2019,4,Lagged,27,0.0
51,1,2020,4,Lagged,30,11.4
51,1,2015,5,Constant,15,0.0
51,1,2016,5,Constant,18,0.0
51,1,2017,5,Constant,3,0.0
51,1,2018,5,Constant,27,0.0
51,1,2019,5,Constant,6,0.0
51,1,2020,5,Constant,27,13.2
51,1,2015,5,Lagged,15,0.0
51,1,2016,5,Lagged,18,0.0
51,1,2017,5,Lagged,3,0.0
51,1,2018,5,Lagged,27,0.0
51,1,2019,5,Lagged,6,0.0
51,1,2020,5,Lagged,27,13.2
51,1,2015,6,Constant,15,0.0
51,1,2016,6,Constant,9,0.0
51,1,2017,6,Constant,15,0.0
51,1,2018,6,Constant,39,0.0
51,1,2019,6,Constant,9,0.0
51,1,2020,6,Constant,33,15.6
51,1,2015,6,Lagged,15,0.0
51,1,2016,6,Lagged,9,0.0
51,1,2017,6,Lagged,15,0.0
51,1,2018,6,Lagged,39,0.0
51,1,2019,6,Lagged,9,0.0
51,1,2020,6,Lagged,34,16.6
51,1,2015,7,Constant,27,0.0
51,1,2016,7,Constant,18,0.0
51,1,2017,7,Constant,0,0.0
51,1,2018,7,Constant,6,0.0
51,1,2019,7,Constant,15,0.0
51,1,2020,7,Constant,0,-13.2
51,1,2015,7,Lagged,27,0.0
51,1,2016,7,Lagged,18,0.0
